% Title: Reallywritter
%
@RELATION text
@ATTRIBUTE	Chapter	NUMERIC
@ATTRIBUTE	chapter_computer	NUMERIC
@ATTRIBUTE	Classification	{J, E, P, D}
@ATTRIBUTE	Propernouns_computer	NUMERIC
@ATTRIBUTE	hasElohim	{Y, N}
@ATTRIBUTE	Particle_computer	NUMERIC
@ATTRIBUTE	verse_computer	NUMERIC
@ATTRIBUTE	Verse	NUMERIC
@ATTRIBUTE	Prepositions_verb_computer	NUMERIC
@ATTRIBUTE	Prepositions_computer	NUMERIC
@ATTRIBUTE	Genre	{Genealogy, Narrative, Blessing, Law, Covenant}
@ATTRIBUTE	Prepositions_pronoun_computer	NUMERIC
@ATTRIBUTE	hasYHWH	{Y, N}

@DATA
4.0,4.0,J,0.222222222222,N,0.0,23.0,23.0,0.0,0.0,Narrative,0.0,N
4.0,4.0,J,0.142857142857,N,0.0,24.0,24.0,0.0,0.0,Narrative,0.0,N
4.0,4.0,J,0.15,Y,0.0,25.0,25.0,0.0,0.05,Narrative,0.0,N
4.0,4.0,J,0.0833333333333,N,0.0,26.0,26.0,0.0,0.0,Narrative,0.0,Y
5.0,5.0,P,0.0,Y,0.0,1.0,1.0,0.0,0.0,Genealogy,0.0,N
5.0,5.0,P,0.0,N,0.0,2.0,2.0,0.0,0.0,Genealogy,0.0,N
5.0,5.0,P,0.0833333333333,N,0.0,3.0,3.0,0.0,0.0,Genealogy,0.0,N
5.0,5.0,P,0.0,N,0.0,4.0,4.0,0.0,0.0833333333333,Genealogy,0.0,N
5.0,5.0,P,0.0,N,0.0,5.0,5.0,0.0,0.0,Genealogy,0.0,N
5.0,5.0,P,0.0,N,0.0,6.0,6.0,0.0,0.0,Genealogy,0.0,N
5.0,5.0,P,0.0,N,0.0,7.0,7.0,0.0,0.0769230769231,Genealogy,0.0,N
5.0,5.0,P,0.0,N,0.0,8.0,8.0,0.0,0.0,Genealogy,0.0,N
5.0,5.0,P,0.0,N,0.0,9.0,9.0,0.0,0.0,Genealogy,0.0,N
5.0,5.0,P,0.0,N,0.0,10.0,10.0,0.0,0.0666666666667,Genealogy,0.0,N
